id,nome,siglaPartido,siglaUf,idLegislatura,PL 2337/21,PLP 19/19,PL 591/2021,PL 3729/04,PL 3723/19,PEC 06/2019,PEC 125/2011,MP 1045/21,MP 1031/21,PL 10372/18,PEC 135/19,PEC 241/2016
141391,Arnaldo Jardim,CIDADANIA,SP,56,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5
204414,Aroldo Martins,REPUBLICANOS,PR,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5
160541,Arthur Lira,PP,AL,56,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0
160600,Arthur Oliveira Maia,DEM,BA,56,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0
159237,Assis Carvalho,PT,PI,56,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0
74090,Átila Lins,PP,AM,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
74459,Átila Lira,PP,PI,56,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0
160665,Augusto Coutinho,SOLIDARIEDADE,PE,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0
204509,Áurea Carolina,PSOL,MG,56,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,56,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0
69871,Bacelar,PODE,BA,56,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
178975,Baleia Rossi,MDB,SP,56,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0
73701,Benedita da Silva,PT,RJ,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0
109429,Benes Leocádio,REPUBLICANOS,RN,56,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
141335,Beto Faro,PT,PA,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
204358,Beto Pereira,PSDB,MS,56,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
178948,Beto Rosado,PP,RN,56,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0
207176,Bia Cavassa,PSDB,MS,56,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
204374,Bia Kicis,PSL,DF,56,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
204388,Bibo Nunes,PSL,RS,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
141513,Bilac Pinto,DEM,MG,56,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0
204561,Bira do Pindaré,PSB,MA,56,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5
204397,Boca Aberta,PROS,PR,56,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5
160538,Bohn Gass,PT,RS,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
74052,Bosco Costa,PL,SE,56,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0
204551,Bosco Saraiva,SOLIDARIEDADE,AM,56,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5
204502,Bozzella,PSL,SP,56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
160589,Bruna Furlan,PSDB,SP,56,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0
93083,Cacá Leão,PP,BA,56,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178853,Caetano,PT,BA,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
204352,Camilo Capiberibe,PSB,AP,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5
204572,Capitão Alberto Neto,REPUBLICANOS,AM,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
178829,Capitão Augusto,PL,SP,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
178924,Capitão Fábio Abreu,PL,PI,56,1.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5
204487,Capitão Wagner,PROS,CE,56,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
213762,Carla Dickson,PROS,RN,56,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5
204507,Carla Zambelli,PSL,SP,56,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5
141401,Carlos Bezerra,MDB,MT,56,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0
204361,Carlos Chiodini,MDB,SC,56,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5
178962,Carlos Gomes,REPUBLICANOS,RS,56,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178993,Carlos Henrique Gaguim,DEM,TO,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204460,Carlos Jordy,PSL,RJ,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
74262,Carlos Sampaio,PSDB,SP,56,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
204426,Carlos Veras,PT,PE,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5
141398,Carlos Zarattini,PT,SP,56,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
164360,Carmen Zanotto,CIDADANIA,SC,56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
204369,Caroline de Toni,PSL,SC,56,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
204499,Cássio Andrade,PSB,PA,56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5
204380,Celina Leão,PP,DF,56,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5
204370,Célio Moura,PT,TO,56,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5
178876,Célio Silveira,PSDB,GO,56,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204488,Célio Studart,PV,CE,56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5
141405,Celso Maldaner,MDB,SC,56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
73441,Celso Russomanno,REPUBLICANOS,SP,56,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0
204496,Celso Sabino,PSL,PA,56,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
204504,Cezinha de Madureira,PSD,SP,56,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5
205476,Charles Fernandes,PSD,BA,56,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
204490,Charlles Evangelista,PSL,MG,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
141439,Chico D'Angelo,PDT,RJ,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
141440,CHICO LOPES,PCdoB,CE,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
204476,Chiquinho Brazão,AVANTE,RJ,56,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
204462,Chris Tonietto,PSL,RJ,56,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
178928,Christiane de Souza Yared,PL,PR,56,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
204440,Christino Aureo,PP,RJ,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
178939,Clarissa Garotinho,PROS,RJ,56,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
74537,Claudio Cajado,PP,BA,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
141408,Cleber Verde,REPUBLICANOS,MA,56,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0
204376,Coronel Armando,PSL,SC,56,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
204378,Coronel Chrisóstomo,PSL,RO,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
204514,Coronel Tadeu,PSL,SP,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
178963,Covatti Filho,PP,RS,56,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0
135054,Cristiano Vale,PL,PA,56,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
204355,Da Vitoria,CIDADANIA,ES,56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
141411,Dagoberto Nogueira,PDT,MS,56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
74467,Damião Feliciano,PDT,PB,56,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
74060,Daniel Almeida,PCdoB,BA,56,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0
178916,Daniel Coelho,CIDADANIA,PE,56,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
204367,Daniel Freitas,PSL,SC,56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
204454,Daniel Silveira,PSL,RJ,56,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5
204409,Daniel Trzeciak,PSDB,RS,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
204459,Daniela do Waguinho,MDB,RJ,56,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5
160528,Danilo Cabral,PSB,PE,56,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0
62881,Danilo Forte,PSDB,CE,56,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0
160552,Danrlei de Deus Hinterholz,PSD,RS,56,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0
116379,Darci de Matos,PSD,SC,56,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.5
73891,Darcísio Perondi,MDB,RS,56,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0
205548,David Miranda,PSOL,RJ,56,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5
204511,David Soares,DEM,SP,56,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.5
204451,Delegado Antônio Furtado,PSL,RJ,56,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5
178908,Delegado Éder Mauro,PSD,PA,56,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
204512,Delegado Marcelo Freitas,PSL,MG,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
204569,Delegado Pablo,PSL,AM,56,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
164359,Delegado Waldir,PSL,GO,56,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,1.0
204542,Denis Bezerra,PSB,CE,56,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5
213856,Deuzinho Filho,REPUBLICANOS,CE,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
